Submission date,Review Language,Author,Rating,Review,Reply Date,Response Time,Developer Reply,Sentiment,Keywords
2025-07-01 05:59:19,id,hashirama senju,5.0,"daftarnya gampang, pemakaianya jg malah simpel bngt ... ko pada bilang susah ya 😅",2025-07-02 08:47:44,26:48:25,"Hai Sahabat,

Terima kasih atas review dan rating yang kamu berikan. Jika ada kendala atau hal lain yang ingin disampaikan, Sahabat dapat juga menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",positive,Daftar
2025-06-30 14:38:24,id,Hans Sebastian,1.0,"UI yang tidak konsisten, data formulir yang di-reset setiap kali keluar aplikasi, loading screen yang lama setiap kali memilih kota/kabupaten, kelurahan, dan kecamatan. Kode pos memerlukan kelurahan dan kecamatan tetapi tidak diisi secara otomatis, meskipun hanya tersedia 1 opsi di dropdown. Sering terjadi error dari server meskipun internet lancar.",2025-07-02 08:47:42,42:09:18,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Error
2025-06-25 23:27:57,en,Yusuf Nur Sofiyan,5.0,"Good Banking, starting from opening an account, making a debit/ATM card, to easy transactions, thanks",2025-06-30 08:43:26,105:15:29,"Hai Sahabat,

Terima kasih atas review dan rating yang kamu berikan. Jika ada kendala atau hal lain yang ingin disampaikan, Sahabat dapat juga menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",positive,Other
2025-06-22 12:32:11,id,BUYUNG PARABOLA,1.0,tidak bermutu sudah daftar isi data udh sesuai tau nya gk bisa masuk awas pencurian data,2025-06-30 08:43:06,188:10:55,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Daftar
2025-06-21 13:46:08,id,Santi Sundari,1.0,,2025-06-30 08:43:01,210:56:53,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",positive,Other
2025-06-15 19:42:07,id,Agung Sulaksono Saputra,1.0,aplikasi kaleng kaleng👎,2025-06-16 01:36:09,05:54:02,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",neutral,Other
2025-06-13 18:20:19,id,Arif Yudo,1.0,"aplikasi selalu auto close sewaktu buka aplikasi lain, registrasi selalu terputus",2025-06-16 01:35:58,55:15:39,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-06-12 16:35:12,id,MUHAMAD AL KINDI,3.0,"pendaftaran dan pembukaan rekening berjalan lancar sampai dapat USER ID Dan Nomor Rekening. saya coba test setor awal 10,000 masuk (namun tidak ada notifikasi transfer masuk manapun). saya coba test transfer keluar berhasil dan cepat masuk ke rekening tujuan (Dapat Notifikasinya tapi lama). saya belum mencoba fitur-fitur yang lainnya. semoga tidak ada kendala apapun selama-lamanya. Saat ini saya sedang mengajukan kartu ATM Pertama semoga lancar sampai dirumah. Terima kasih",2025-06-13 01:59:21,09:24:09,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",positive,Fitur
2025-06-09 05:15:54,jv,Erma Rosa Silasari,1.0,"sudah berbulan2 ga bs pake Qris, sdh coba uninstal dan download ulang, tetep ga bs. undian elit qris sulit. ampuuuun",2025-06-13 01:57:59,92:42:05,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Other
2025-06-05 10:18:37,id,Nur Ila,1.0,Aplikasi sampah daftar gagal. data sudah benar semua. cuma ambil data saja ini apliaksi hati hati guys !!! cape cape daftar di tolak gagal.,2025-06-13 01:57:51,183:39:14,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Daftar
2025-06-04 23:43:51,id,Dwi Corlita,5.0,"sudah bagus kok aplikasi mbangking nya, lebih ditingkatkan lagi",2025-06-13 01:57:42,194:13:51,"Hai Sahabat,

Terima kasih atas review dan rating yang kamu berikan. Jika ada kendala atau hal lain yang ingin disampaikan, Sahabat dapat juga menghubungi layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",positive,Other
2025-06-04 06:01:25,id,Hana Yesica,1.0,"GILA NI APK. udah daftar cape cape pake data pribadi bahkan dimintain KK segala. trus ngisi npwp,ktp,alamat rmh&kantor dll apaansi ribet banget!! dah gitu malah pengajuanku DITOLAK. apknya jg sampe sekarang ga bisa dibuka",2025-06-13 01:57:30,211:56:05,"Hai Sahabat,

Mohon maaf atas ketidaknyamanan yang kamu alami. Untuk dapat dilakukan pengecekan lebih lanjut, mohon informasikan detail kendala yang Anda alami melalui layanan Phone Banking 24 Jam Bank Sahabat Sampoerna di nomor 1500 035.

Salam Sahabat",negative,Daftar
